2024-08-28 18:27:23,862 [main] INFO  o.a.i.d.s.d.c.s.CompactionScheduleTaskManager:76 - Compaction schedule task manager started. 
2024-08-28 18:27:23,879 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3 
2024-08-28 18:27:23,880 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4 
2024-08-28 18:27:23,879 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/2 
2024-08-28 18:27:23,881 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2538 
2024-08-28 18:27:23,881 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/2/2538 
2024-08-28 18:27:23,881 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2538 
2024-08-28 18:27:23,887 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/3/2539 
2024-08-28 18:27:23,887 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/4/2539 
2024-08-28 18:27:23,887 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:93 - root.test.g_0 [Compaction][Recover] recover compaction in time partition dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/sequence/root.test.g_0/2/2539 
2024-08-28 18:27:23,888 [pool-14-IoTDB-StorageEngine-3] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/unsequence/root.test.g_0/2 
2024-08-28 18:27:23,888 [pool-14-IoTDB-StorageEngine-2] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/unsequence/root.test.g_0/3 
2024-08-28 18:27:23,888 [pool-14-IoTDB-StorageEngine-1] INFO  o.a.i.d.s.d.c.e.r.CompactionRecoverManager:77 - root.test.g_0 [Compaction][Recover] recover compaction in data region dir /data/iotdb/t_m_0827_db02fdf/data/datanode/data/unsequence/root.test.g_0/4 
2024-08-28 18:27:24,248 [main] INFO  o.a.i.d.s.d.c.s.CompactionTaskManager:132 - Compaction task manager started. 
