+-------------------------+----------+
|                   Device|count(s_0)|
+-------------------------+----------+
|  root.db.g_0.d_aligned_0|    911600|
|  root.db.g_0.d_aligned_1|    911600|
| root.db.g_0.d_aligned_10|    911600|
|root.db.g_0.d_aligned_100|    912000|
|root.db.g_0.d_aligned_101|    912000|
|root.db.g_0.d_aligned_102|    912000|
|root.db.g_0.d_aligned_103|    912000|
|root.db.g_0.d_aligned_104|    912000|
|root.db.g_0.d_aligned_105|    912000|
|root.db.g_0.d_aligned_106|    912000|
|root.db.g_0.d_aligned_107|    912000|
|root.db.g_0.d_aligned_108|    912000|
|root.db.g_0.d_aligned_109|    912000|
| root.db.g_0.d_aligned_11|    911600|
|root.db.g_0.d_aligned_110|    912000|
|root.db.g_0.d_aligned_111|    912000|
|root.db.g_0.d_aligned_112|    912000|
|root.db.g_0.d_aligned_113|    912000|
|root.db.g_0.d_aligned_114|    912000|
|root.db.g_0.d_aligned_115|    912000|
|root.db.g_0.d_aligned_116|    912000|
|root.db.g_0.d_aligned_117|    912000|
|root.db.g_0.d_aligned_118|    912000|
|root.db.g_0.d_aligned_119|    912000|
| root.db.g_0.d_aligned_12|    911600|
|root.db.g_0.d_aligned_120|    912000|
|root.db.g_0.d_aligned_121|    912000|
|root.db.g_0.d_aligned_122|    912000|
|root.db.g_0.d_aligned_123|    912000|
|root.db.g_0.d_aligned_124|    912000|
|root.db.g_0.d_aligned_125|    912000|
|root.db.g_0.d_aligned_126|    912000|
|root.db.g_0.d_aligned_127|    912000|
|root.db.g_0.d_aligned_128|    912000|
|root.db.g_0.d_aligned_129|    912000|
| root.db.g_0.d_aligned_13|    911600|
|root.db.g_0.d_aligned_130|    912000|
|root.db.g_0.d_aligned_131|    912000|
|root.db.g_0.d_aligned_132|    912000|
|root.db.g_0.d_aligned_133|    912000|
|root.db.g_0.d_aligned_134|    912000|
|root.db.g_0.d_aligned_135|    912000|
|root.db.g_0.d_aligned_136|    912000|
|root.db.g_0.d_aligned_137|    912000|
|root.db.g_0.d_aligned_138|    912000|
|root.db.g_0.d_aligned_139|    912000|
| root.db.g_0.d_aligned_14|    911600|
|root.db.g_0.d_aligned_140|    912000|
|root.db.g_0.d_aligned_141|    912000|
|root.db.g_0.d_aligned_142|    912000|
|root.db.g_0.d_aligned_143|    912000|
|root.db.g_0.d_aligned_144|    912000|
|root.db.g_0.d_aligned_145|    912000|
|root.db.g_0.d_aligned_146|    912000|
|root.db.g_0.d_aligned_147|    912000|
|root.db.g_0.d_aligned_148|    912000|
|root.db.g_0.d_aligned_149|    912000|
| root.db.g_0.d_aligned_15|    911600|
|root.db.g_0.d_aligned_150|    907900|
|root.db.g_0.d_aligned_151|    907900|
|root.db.g_0.d_aligned_152|    907900|
|root.db.g_0.d_aligned_153|    907900|
|root.db.g_0.d_aligned_154|    907900|
|root.db.g_0.d_aligned_155|    907900|
|root.db.g_0.d_aligned_156|    907900|
|root.db.g_0.d_aligned_157|    907900|
|root.db.g_0.d_aligned_158|    907900|
|root.db.g_0.d_aligned_159|    907900|
| root.db.g_0.d_aligned_16|    911600|
|root.db.g_0.d_aligned_160|    907900|
|root.db.g_0.d_aligned_161|    907900|
|root.db.g_0.d_aligned_162|    907900|
|root.db.g_0.d_aligned_163|    907900|
|root.db.g_0.d_aligned_164|    907900|
|root.db.g_0.d_aligned_165|    907900|
|root.db.g_0.d_aligned_166|    907900|
|root.db.g_0.d_aligned_167|    907900|
|root.db.g_0.d_aligned_168|    907900|
|root.db.g_0.d_aligned_169|    907900|
| root.db.g_0.d_aligned_17|    911600|
|root.db.g_0.d_aligned_170|    907900|
|root.db.g_0.d_aligned_171|    907900|
|root.db.g_0.d_aligned_172|    907900|
|root.db.g_0.d_aligned_173|    907900|
|root.db.g_0.d_aligned_174|    907900|
|root.db.g_0.d_aligned_175|    907900|
|root.db.g_0.d_aligned_176|    907900|
|root.db.g_0.d_aligned_177|    907900|
|root.db.g_0.d_aligned_178|    907900|
|root.db.g_0.d_aligned_179|    907900|
| root.db.g_0.d_aligned_18|    911600|
|root.db.g_0.d_aligned_180|    907900|
|root.db.g_0.d_aligned_181|    907900|
|root.db.g_0.d_aligned_182|    907900|
|root.db.g_0.d_aligned_183|    907900|
|root.db.g_0.d_aligned_184|    907900|
|root.db.g_0.d_aligned_185|    907900|
|root.db.g_0.d_aligned_186|    907900|
|root.db.g_0.d_aligned_187|    907900|
|root.db.g_0.d_aligned_188|    907900|
|root.db.g_0.d_aligned_189|    907900|
| root.db.g_0.d_aligned_19|    911600|
|root.db.g_0.d_aligned_190|    907900|
|root.db.g_0.d_aligned_191|    907900|
|root.db.g_0.d_aligned_192|    907900|
|root.db.g_0.d_aligned_193|    907900|
|root.db.g_0.d_aligned_194|    907900|
|root.db.g_0.d_aligned_195|    907900|
|root.db.g_0.d_aligned_196|    907900|
|root.db.g_0.d_aligned_197|    907900|
|root.db.g_0.d_aligned_198|    907900|
|root.db.g_0.d_aligned_199|    907900|
|  root.db.g_0.d_aligned_2|    911600|
| root.db.g_0.d_aligned_20|    911600|
|root.db.g_0.d_aligned_200|    911400|
|root.db.g_0.d_aligned_201|    911400|
|root.db.g_0.d_aligned_202|    911400|
|root.db.g_0.d_aligned_203|    911400|
|root.db.g_0.d_aligned_204|    911400|
|root.db.g_0.d_aligned_205|    911400|
|root.db.g_0.d_aligned_206|    911400|
|root.db.g_0.d_aligned_207|    911400|
|root.db.g_0.d_aligned_208|    911400|
|root.db.g_0.d_aligned_209|    911400|
| root.db.g_0.d_aligned_21|    911600|
|root.db.g_0.d_aligned_210|    911400|
|root.db.g_0.d_aligned_211|    911400|
|root.db.g_0.d_aligned_212|    911400|
|root.db.g_0.d_aligned_213|    911400|
|root.db.g_0.d_aligned_214|    911400|
|root.db.g_0.d_aligned_215|    911400|
|root.db.g_0.d_aligned_216|    911400|
|root.db.g_0.d_aligned_217|    911400|
|root.db.g_0.d_aligned_218|    911400|
|root.db.g_0.d_aligned_219|    911400|
| root.db.g_0.d_aligned_22|    911600|
|root.db.g_0.d_aligned_220|    911400|
|root.db.g_0.d_aligned_221|    911400|
|root.db.g_0.d_aligned_222|    911400|
|root.db.g_0.d_aligned_223|    911400|
|root.db.g_0.d_aligned_224|    911400|
|root.db.g_0.d_aligned_225|    911400|
|root.db.g_0.d_aligned_226|    911400|
|root.db.g_0.d_aligned_227|    911400|
|root.db.g_0.d_aligned_228|    911400|
|root.db.g_0.d_aligned_229|    911400|
| root.db.g_0.d_aligned_23|    911600|
|root.db.g_0.d_aligned_230|    911400|
|root.db.g_0.d_aligned_231|    911400|
|root.db.g_0.d_aligned_232|    911400|
|root.db.g_0.d_aligned_233|    911400|
|root.db.g_0.d_aligned_234|    911400|
|root.db.g_0.d_aligned_235|    911400|
|root.db.g_0.d_aligned_236|    911400|
|root.db.g_0.d_aligned_237|    911400|
|root.db.g_0.d_aligned_238|    911400|
|root.db.g_0.d_aligned_239|    911400|
| root.db.g_0.d_aligned_24|    911600|
|root.db.g_0.d_aligned_240|    911400|
|root.db.g_0.d_aligned_241|    911400|
|root.db.g_0.d_aligned_242|    911400|
|root.db.g_0.d_aligned_243|    911400|
|root.db.g_0.d_aligned_244|    911400|
|root.db.g_0.d_aligned_245|    911400|
|root.db.g_0.d_aligned_246|    911400|
|root.db.g_0.d_aligned_247|    911400|
|root.db.g_0.d_aligned_248|    911400|
|root.db.g_0.d_aligned_249|    911400|
| root.db.g_0.d_aligned_25|    911600|
|root.db.g_0.d_aligned_250|    910900|
|root.db.g_0.d_aligned_251|    910900|
|root.db.g_0.d_aligned_252|    910900|
|root.db.g_0.d_aligned_253|    910900|
|root.db.g_0.d_aligned_254|    910900|
|root.db.g_0.d_aligned_255|    910900|
|root.db.g_0.d_aligned_256|    910900|
|root.db.g_0.d_aligned_257|    910900|
|root.db.g_0.d_aligned_258|    910900|
|root.db.g_0.d_aligned_259|    910900|
| root.db.g_0.d_aligned_26|    911600|
|root.db.g_0.d_aligned_260|    910900|
|root.db.g_0.d_aligned_261|    910900|
|root.db.g_0.d_aligned_262|    910900|
|root.db.g_0.d_aligned_263|    910900|
|root.db.g_0.d_aligned_264|    910900|
|root.db.g_0.d_aligned_265|    910900|
|root.db.g_0.d_aligned_266|    910900|
|root.db.g_0.d_aligned_267|    910900|
|root.db.g_0.d_aligned_268|    910900|
|root.db.g_0.d_aligned_269|    910900|
| root.db.g_0.d_aligned_27|    911600|
|root.db.g_0.d_aligned_270|    910900|
|root.db.g_0.d_aligned_271|    910900|
|root.db.g_0.d_aligned_272|    910900|
|root.db.g_0.d_aligned_273|    910900|
|root.db.g_0.d_aligned_274|    910900|
|root.db.g_0.d_aligned_275|    910900|
|root.db.g_0.d_aligned_276|    910900|
|root.db.g_0.d_aligned_277|    910900|
|root.db.g_0.d_aligned_278|    910900|
|root.db.g_0.d_aligned_279|    910900|
| root.db.g_0.d_aligned_28|    911600|
|root.db.g_0.d_aligned_280|    910900|
|root.db.g_0.d_aligned_281|    910900|
|root.db.g_0.d_aligned_282|    910900|
|root.db.g_0.d_aligned_283|    910900|
|root.db.g_0.d_aligned_284|    910900|
|root.db.g_0.d_aligned_285|    910900|
|root.db.g_0.d_aligned_286|    910900|
|root.db.g_0.d_aligned_287|    910900|
|root.db.g_0.d_aligned_288|    910900|
|root.db.g_0.d_aligned_289|    910900|
| root.db.g_0.d_aligned_29|    911600|
|root.db.g_0.d_aligned_290|    910900|
|root.db.g_0.d_aligned_291|    910900|
|root.db.g_0.d_aligned_292|    910900|
|root.db.g_0.d_aligned_293|    910900|
|root.db.g_0.d_aligned_294|    910900|
|root.db.g_0.d_aligned_295|    910900|
|root.db.g_0.d_aligned_296|    910900|
|root.db.g_0.d_aligned_297|    910900|
|root.db.g_0.d_aligned_298|    910900|
|root.db.g_0.d_aligned_299|    910900|
|  root.db.g_0.d_aligned_3|    911600|
| root.db.g_0.d_aligned_30|    911600|
|root.db.g_0.d_aligned_300|    908100|
|root.db.g_0.d_aligned_301|    908100|
|root.db.g_0.d_aligned_302|    908100|
|root.db.g_0.d_aligned_303|    908100|
|root.db.g_0.d_aligned_304|    908100|
|root.db.g_0.d_aligned_305|    908100|
|root.db.g_0.d_aligned_306|    908100|
|root.db.g_0.d_aligned_307|    908100|
|root.db.g_0.d_aligned_308|    908100|
|root.db.g_0.d_aligned_309|    908100|
| root.db.g_0.d_aligned_31|    911600|
|root.db.g_0.d_aligned_310|    908100|
|root.db.g_0.d_aligned_311|    908100|
|root.db.g_0.d_aligned_312|    908100|
|root.db.g_0.d_aligned_313|    908100|
|root.db.g_0.d_aligned_314|    908100|
|root.db.g_0.d_aligned_315|    908100|
|root.db.g_0.d_aligned_316|    908100|
|root.db.g_0.d_aligned_317|    908100|
|root.db.g_0.d_aligned_318|    908100|
|root.db.g_0.d_aligned_319|    908100|
| root.db.g_0.d_aligned_32|    911600|
|root.db.g_0.d_aligned_320|    908100|
|root.db.g_0.d_aligned_321|    908100|
|root.db.g_0.d_aligned_322|    908100|
|root.db.g_0.d_aligned_323|    908100|
|root.db.g_0.d_aligned_324|    908100|
|root.db.g_0.d_aligned_325|    908100|
|root.db.g_0.d_aligned_326|    908100|
|root.db.g_0.d_aligned_327|    908100|
|root.db.g_0.d_aligned_328|    908100|
|root.db.g_0.d_aligned_329|    908100|
| root.db.g_0.d_aligned_33|    911600|
|root.db.g_0.d_aligned_330|    908100|
|root.db.g_0.d_aligned_331|    908100|
|root.db.g_0.d_aligned_332|    908100|
|root.db.g_0.d_aligned_333|    908100|
|root.db.g_0.d_aligned_334|    908100|
|root.db.g_0.d_aligned_335|    908100|
|root.db.g_0.d_aligned_336|    908100|
|root.db.g_0.d_aligned_337|    908100|
|root.db.g_0.d_aligned_338|    908100|
|root.db.g_0.d_aligned_339|    908100|
| root.db.g_0.d_aligned_34|    911600|
|root.db.g_0.d_aligned_340|    908100|
|root.db.g_0.d_aligned_341|    908100|
|root.db.g_0.d_aligned_342|    908100|
|root.db.g_0.d_aligned_343|    908100|
|root.db.g_0.d_aligned_344|    908100|
|root.db.g_0.d_aligned_345|    908100|
|root.db.g_0.d_aligned_346|    908100|
|root.db.g_0.d_aligned_347|    908100|
|root.db.g_0.d_aligned_348|    908100|
|root.db.g_0.d_aligned_349|    908100|
| root.db.g_0.d_aligned_35|    911600|
