+-------------------+----------+
|             Device|count(s_0)|
+-------------------+----------+
|   root.db.g_0.d1_0|    100000|
|   root.db.g_0.d1_1|    100000|
|  root.db.g_0.d1_10|    100000|
| root.db.g_0.d1_100|    100000|
|root.db.g_0.d1_1000|    100000|
|root.db.g_0.d1_1001|    100000|
|root.db.g_0.d1_1002|    100000|
|root.db.g_0.d1_1003|    100000|
|root.db.g_0.d1_1004|    100000|
|root.db.g_0.d1_1005|    100000|
|root.db.g_0.d1_1006|    100000|
|root.db.g_0.d1_1007|    100000|
|root.db.g_0.d1_1008|    100000|
|root.db.g_0.d1_1009|    100000|
| root.db.g_0.d1_101|    100000|
|root.db.g_0.d1_1010|    100000|
|root.db.g_0.d1_1011|    100000|
|root.db.g_0.d1_1012|    100000|
|root.db.g_0.d1_1013|    100000|
|root.db.g_0.d1_1014|    100000|
|root.db.g_0.d1_1015|    100000|
|root.db.g_0.d1_1016|    100000|
|root.db.g_0.d1_1017|    100000|
|root.db.g_0.d1_1018|    100000|
|root.db.g_0.d1_1019|    100000|
| root.db.g_0.d1_102|    100000|
|root.db.g_0.d1_1020|    100000|
|root.db.g_0.d1_1021|    100000|
|root.db.g_0.d1_1022|    100000|
|root.db.g_0.d1_1023|    100000|
|root.db.g_0.d1_1024|    100000|
|root.db.g_0.d1_1025|    100000|
|root.db.g_0.d1_1026|    100000|
|root.db.g_0.d1_1027|    100000|
|root.db.g_0.d1_1028|    100000|
|root.db.g_0.d1_1029|    100000|
| root.db.g_0.d1_103|    100000|
|root.db.g_0.d1_1030|    100000|
|root.db.g_0.d1_1031|    100000|
|root.db.g_0.d1_1032|    100000|
|root.db.g_0.d1_1033|    100000|
|root.db.g_0.d1_1034|    100000|
|root.db.g_0.d1_1035|    100000|
|root.db.g_0.d1_1036|    100000|
|root.db.g_0.d1_1037|    100000|
|root.db.g_0.d1_1038|    100000|
|root.db.g_0.d1_1039|    100000|
| root.db.g_0.d1_104|    100000|
|root.db.g_0.d1_1040|    100000|
|root.db.g_0.d1_1041|    100000|
|root.db.g_0.d1_1042|    100000|
|root.db.g_0.d1_1043|    100000|
|root.db.g_0.d1_1044|    100000|
|root.db.g_0.d1_1045|    100000|
|root.db.g_0.d1_1046|    100000|
|root.db.g_0.d1_1047|    100000|
|root.db.g_0.d1_1048|    100000|
|root.db.g_0.d1_1049|    100000|
| root.db.g_0.d1_105|    100000|
|root.db.g_0.d1_1050|    100000|
|root.db.g_0.d1_1051|    100000|
|root.db.g_0.d1_1052|    100000|
|root.db.g_0.d1_1053|    100000|
|root.db.g_0.d1_1054|    100000|
|root.db.g_0.d1_1055|    100000|
|root.db.g_0.d1_1056|    100000|
|root.db.g_0.d1_1057|    100000|
|root.db.g_0.d1_1058|    100000|
|root.db.g_0.d1_1059|    100000|
| root.db.g_0.d1_106|    100000|
|root.db.g_0.d1_1060|    100000|
|root.db.g_0.d1_1061|    100000|
|root.db.g_0.d1_1062|    100000|
|root.db.g_0.d1_1063|    100000|
|root.db.g_0.d1_1064|    100000|
|root.db.g_0.d1_1065|    100000|
|root.db.g_0.d1_1066|    100000|
|root.db.g_0.d1_1067|    100000|
|root.db.g_0.d1_1068|    100000|
|root.db.g_0.d1_1069|    100000|
| root.db.g_0.d1_107|    100000|
|root.db.g_0.d1_1070|    100000|
|root.db.g_0.d1_1071|    100000|
|root.db.g_0.d1_1072|    100000|
|root.db.g_0.d1_1073|    100000|
|root.db.g_0.d1_1074|    100000|
|root.db.g_0.d1_1075|    100000|
|root.db.g_0.d1_1076|    100000|
|root.db.g_0.d1_1077|    100000|
|root.db.g_0.d1_1078|    100000|
|root.db.g_0.d1_1079|    100000|
| root.db.g_0.d1_108|    100000|
|root.db.g_0.d1_1080|    100000|
|root.db.g_0.d1_1081|    100000|
|root.db.g_0.d1_1082|    100000|
|root.db.g_0.d1_1083|    100000|
|root.db.g_0.d1_1084|    100000|
|root.db.g_0.d1_1085|    100000|
|root.db.g_0.d1_1086|    100000|
|root.db.g_0.d1_1087|    100000|
|root.db.g_0.d1_1088|    100000|
|root.db.g_0.d1_1089|    100000|
| root.db.g_0.d1_109|    100000|
|root.db.g_0.d1_1090|    100000|
|root.db.g_0.d1_1091|    100000|
|root.db.g_0.d1_1092|    100000|
|root.db.g_0.d1_1093|    100000|
|root.db.g_0.d1_1094|    100000|
|root.db.g_0.d1_1095|    100000|
|root.db.g_0.d1_1096|    100000|
|root.db.g_0.d1_1097|    100000|
|root.db.g_0.d1_1098|    100000|
|root.db.g_0.d1_1099|    100000|
|  root.db.g_0.d1_11|    100000|
| root.db.g_0.d1_110|    100000|
|root.db.g_0.d1_1100|    100000|
|root.db.g_0.d1_1101|    100000|
|root.db.g_0.d1_1102|    100000|
|root.db.g_0.d1_1103|    100000|
|root.db.g_0.d1_1104|    100000|
|root.db.g_0.d1_1105|    100000|
|root.db.g_0.d1_1106|    100000|
|root.db.g_0.d1_1107|    100000|
|root.db.g_0.d1_1108|    100000|
|root.db.g_0.d1_1109|    100000|
| root.db.g_0.d1_111|    100000|
|root.db.g_0.d1_1110|    100000|
|root.db.g_0.d1_1111|    100000|
|root.db.g_0.d1_1112|    100000|
|root.db.g_0.d1_1113|    100000|
|root.db.g_0.d1_1114|    100000|
|root.db.g_0.d1_1115|    100000|
|root.db.g_0.d1_1116|    100000|
|root.db.g_0.d1_1117|    100000|
|root.db.g_0.d1_1118|    100000|
|root.db.g_0.d1_1119|    100000|
| root.db.g_0.d1_112|    100000|
|root.db.g_0.d1_1120|    100000|
|root.db.g_0.d1_1121|    100000|
|root.db.g_0.d1_1122|    100000|
|root.db.g_0.d1_1123|    100000|
|root.db.g_0.d1_1124|    100000|
|root.db.g_0.d1_1125|    100000|
|root.db.g_0.d1_1126|    100000|
|root.db.g_0.d1_1127|    100000|
|root.db.g_0.d1_1128|    100000|
|root.db.g_0.d1_1129|    100000|
| root.db.g_0.d1_113|    100000|
|root.db.g_0.d1_1130|    100000|
|root.db.g_0.d1_1131|    100000|
|root.db.g_0.d1_1132|    100000|
|root.db.g_0.d1_1133|    100000|
|root.db.g_0.d1_1134|    100000|
|root.db.g_0.d1_1135|    100000|
|root.db.g_0.d1_1136|    100000|
|root.db.g_0.d1_1137|    100000|
|root.db.g_0.d1_1138|    100000|
|root.db.g_0.d1_1139|    100000|
| root.db.g_0.d1_114|    100000|
|root.db.g_0.d1_1140|    100000|
|root.db.g_0.d1_1141|    100000|
|root.db.g_0.d1_1142|    100000|
|root.db.g_0.d1_1143|    100000|
|root.db.g_0.d1_1144|    100000|
|root.db.g_0.d1_1145|    100000|
|root.db.g_0.d1_1146|    100000|
|root.db.g_0.d1_1147|    100000|
|root.db.g_0.d1_1148|    100000|
|root.db.g_0.d1_1149|    100000|
| root.db.g_0.d1_115|    100000|
|root.db.g_0.d1_1150|    100000|
|root.db.g_0.d1_1151|    100000|
|root.db.g_0.d1_1152|    100000|
|root.db.g_0.d1_1153|    100000|
|root.db.g_0.d1_1154|    100000|
|root.db.g_0.d1_1155|    100000|
|root.db.g_0.d1_1156|    100000|
|root.db.g_0.d1_1157|    100000|
|root.db.g_0.d1_1158|    100000|
|root.db.g_0.d1_1159|    100000|
| root.db.g_0.d1_116|    100000|
|root.db.g_0.d1_1160|    100000|
|root.db.g_0.d1_1161|    100000|
|root.db.g_0.d1_1162|    100000|
|root.db.g_0.d1_1163|    100000|
|root.db.g_0.d1_1164|    100000|
|root.db.g_0.d1_1165|    100000|
|root.db.g_0.d1_1166|    100000|
|root.db.g_0.d1_1167|    100000|
|root.db.g_0.d1_1168|    100000|
|root.db.g_0.d1_1169|    100000|
| root.db.g_0.d1_117|    100000|
|root.db.g_0.d1_1170|    100000|
|root.db.g_0.d1_1171|    100000|
|root.db.g_0.d1_1172|    100000|
|root.db.g_0.d1_1173|    100000|
|root.db.g_0.d1_1174|    100000|
|root.db.g_0.d1_1175|    100000|
|root.db.g_0.d1_1176|    100000|
|root.db.g_0.d1_1177|    100000|
|root.db.g_0.d1_1178|    100000|
|root.db.g_0.d1_1179|    100000|
| root.db.g_0.d1_118|    100000|
|root.db.g_0.d1_1180|    100000|
|root.db.g_0.d1_1181|    100000|
|root.db.g_0.d1_1182|    100000|
|root.db.g_0.d1_1183|    100000|
|root.db.g_0.d1_1184|    100000|
|root.db.g_0.d1_1185|    100000|
|root.db.g_0.d1_1186|    100000|
|root.db.g_0.d1_1187|    100000|
|root.db.g_0.d1_1188|    100000|
|root.db.g_0.d1_1189|    100000|
| root.db.g_0.d1_119|    100000|
|root.db.g_0.d1_1190|    100000|
|root.db.g_0.d1_1191|    100000|
|root.db.g_0.d1_1192|    100000|
|root.db.g_0.d1_1193|    100000|
|root.db.g_0.d1_1194|    100000|
|root.db.g_0.d1_1195|    100000|
|root.db.g_0.d1_1196|    100000|
|root.db.g_0.d1_1197|    100000|
|root.db.g_0.d1_1198|    100000|
|root.db.g_0.d1_1199|    100000|
