+--------------------+----------+
|              Device|count(s_0)|
+--------------------+----------+
|  root.test.g_0.d1_0|     10000|
|  root.test.g_0.d1_1|     10000|
| root.test.g_0.d1_10|     10000|
|root.test.g_0.d1_100|     10000|
|root.test.g_0.d1_101|     10000|
|root.test.g_0.d1_102|     10000|
|root.test.g_0.d1_103|     10000|
|root.test.g_0.d1_104|     10000|
|root.test.g_0.d1_105|     10000|
|root.test.g_0.d1_106|     10000|
|root.test.g_0.d1_107|     10000|
|root.test.g_0.d1_108|     10000|
|root.test.g_0.d1_109|     10000|
| root.test.g_0.d1_11|     10000|
|root.test.g_0.d1_110|     10000|
|root.test.g_0.d1_111|     10000|
|root.test.g_0.d1_112|     10000|
|root.test.g_0.d1_113|     10000|
|root.test.g_0.d1_114|     10000|
|root.test.g_0.d1_115|     10000|
|root.test.g_0.d1_116|     10000|
|root.test.g_0.d1_117|     10000|
|root.test.g_0.d1_118|     10000|
|root.test.g_0.d1_119|     10000|
| root.test.g_0.d1_12|     10000|
|root.test.g_0.d1_120|     10000|
|root.test.g_0.d1_121|     10000|
|root.test.g_0.d1_122|     10000|
|root.test.g_0.d1_123|     10000|
|root.test.g_0.d1_124|     10000|
|root.test.g_0.d1_125|     10000|
|root.test.g_0.d1_126|     10000|
|root.test.g_0.d1_127|     10000|
|root.test.g_0.d1_128|     10000|
|root.test.g_0.d1_129|     10000|
| root.test.g_0.d1_13|     10000|
|root.test.g_0.d1_130|     10000|
|root.test.g_0.d1_131|     10000|
|root.test.g_0.d1_132|     10000|
|root.test.g_0.d1_133|     10000|
|root.test.g_0.d1_134|     10000|
|root.test.g_0.d1_135|     10000|
|root.test.g_0.d1_136|     10000|
|root.test.g_0.d1_137|     10000|
|root.test.g_0.d1_138|     10000|
|root.test.g_0.d1_139|     10000|
| root.test.g_0.d1_14|     10000|
|root.test.g_0.d1_140|     10000|
|root.test.g_0.d1_141|     10000|
|root.test.g_0.d1_142|     10000|
|root.test.g_0.d1_143|     10000|
|root.test.g_0.d1_144|     10000|
|root.test.g_0.d1_145|     10000|
|root.test.g_0.d1_146|     10000|
|root.test.g_0.d1_147|     10000|
|root.test.g_0.d1_148|     10000|
|root.test.g_0.d1_149|     10000|
| root.test.g_0.d1_15|     10000|
|root.test.g_0.d1_150|     10000|
|root.test.g_0.d1_151|     10000|
|root.test.g_0.d1_152|     10000|
|root.test.g_0.d1_153|     10000|
|root.test.g_0.d1_154|     10000|
|root.test.g_0.d1_155|     10000|
|root.test.g_0.d1_156|     10000|
|root.test.g_0.d1_157|     10000|
|root.test.g_0.d1_158|     10000|
|root.test.g_0.d1_159|     10000|
| root.test.g_0.d1_16|     10000|
|root.test.g_0.d1_160|     10000|
|root.test.g_0.d1_161|     10000|
|root.test.g_0.d1_162|     10000|
|root.test.g_0.d1_163|     10000|
|root.test.g_0.d1_164|     10000|
|root.test.g_0.d1_165|     10000|
|root.test.g_0.d1_166|     10000|
|root.test.g_0.d1_167|     10000|
|root.test.g_0.d1_168|     10000|
|root.test.g_0.d1_169|     10000|
| root.test.g_0.d1_17|     10000|
|root.test.g_0.d1_170|     10000|
|root.test.g_0.d1_171|     10000|
|root.test.g_0.d1_172|     10000|
|root.test.g_0.d1_173|     10000|
|root.test.g_0.d1_174|     10000|
|root.test.g_0.d1_175|     10000|
|root.test.g_0.d1_176|     10000|
|root.test.g_0.d1_177|     10000|
|root.test.g_0.d1_178|     10000|
|root.test.g_0.d1_179|     10000|
| root.test.g_0.d1_18|     10000|
|root.test.g_0.d1_180|     10000|
|root.test.g_0.d1_181|     10000|
|root.test.g_0.d1_182|     10000|
|root.test.g_0.d1_183|     10000|
|root.test.g_0.d1_184|     10000|
|root.test.g_0.d1_185|     10000|
|root.test.g_0.d1_186|     10000|
|root.test.g_0.d1_187|     10000|
|root.test.g_0.d1_188|     10000|
|root.test.g_0.d1_189|     10000|
| root.test.g_0.d1_19|     10000|
|root.test.g_0.d1_190|     10000|
|root.test.g_0.d1_191|     10000|
|root.test.g_0.d1_192|     10000|
|root.test.g_0.d1_193|     10000|
|root.test.g_0.d1_194|     10000|
|root.test.g_0.d1_195|     10000|
|root.test.g_0.d1_196|     10000|
|root.test.g_0.d1_197|     10000|
|root.test.g_0.d1_198|     10000|
|root.test.g_0.d1_199|     10000|
|  root.test.g_0.d1_2|     10000|
| root.test.g_0.d1_20|     10000|
|root.test.g_0.d1_200|     10000|
|root.test.g_0.d1_201|     10000|
|root.test.g_0.d1_202|     10000|
|root.test.g_0.d1_203|     10000|
|root.test.g_0.d1_204|     10000|
|root.test.g_0.d1_205|     10000|
|root.test.g_0.d1_206|     10000|
|root.test.g_0.d1_207|     10000|
|root.test.g_0.d1_208|     10000|
|root.test.g_0.d1_209|     10000|
| root.test.g_0.d1_21|     10000|
|root.test.g_0.d1_210|     10000|
|root.test.g_0.d1_211|     10000|
|root.test.g_0.d1_212|     10000|
|root.test.g_0.d1_213|     10000|
|root.test.g_0.d1_214|     10000|
|root.test.g_0.d1_215|     10000|
|root.test.g_0.d1_216|     10000|
|root.test.g_0.d1_217|     10000|
|root.test.g_0.d1_218|     10000|
|root.test.g_0.d1_219|     10000|
| root.test.g_0.d1_22|     10000|
|root.test.g_0.d1_220|     10000|
|root.test.g_0.d1_221|     10000|
|root.test.g_0.d1_222|     10000|
|root.test.g_0.d1_223|     10000|
|root.test.g_0.d1_224|     10000|
|root.test.g_0.d1_225|     10000|
|root.test.g_0.d1_226|     10000|
|root.test.g_0.d1_227|     10000|
|root.test.g_0.d1_228|     10000|
|root.test.g_0.d1_229|     10000|
| root.test.g_0.d1_23|     10000|
|root.test.g_0.d1_230|     10000|
|root.test.g_0.d1_231|     10000|
|root.test.g_0.d1_232|     10000|
|root.test.g_0.d1_233|     10000|
|root.test.g_0.d1_234|     10000|
|root.test.g_0.d1_235|     10000|
|root.test.g_0.d1_236|     10000|
|root.test.g_0.d1_237|     10000|
|root.test.g_0.d1_238|     10000|
|root.test.g_0.d1_239|     10000|
| root.test.g_0.d1_24|     10000|
|root.test.g_0.d1_240|     10000|
|root.test.g_0.d1_241|     10000|
|root.test.g_0.d1_242|     10000|
|root.test.g_0.d1_243|     10000|
|root.test.g_0.d1_244|     10000|
|root.test.g_0.d1_245|     10000|
|root.test.g_0.d1_246|     10000|
|root.test.g_0.d1_247|     10000|
|root.test.g_0.d1_248|     10000|
|root.test.g_0.d1_249|     10000|
| root.test.g_0.d1_25|     10000|
|root.test.g_0.d1_250|     10000|
|root.test.g_0.d1_251|     10000|
|root.test.g_0.d1_252|     10000|
|root.test.g_0.d1_253|     10000|
|root.test.g_0.d1_254|     10000|
|root.test.g_0.d1_255|     10000|
|root.test.g_0.d1_256|     10000|
|root.test.g_0.d1_257|     10000|
|root.test.g_0.d1_258|     10000|
|root.test.g_0.d1_259|     10000|
| root.test.g_0.d1_26|     10000|
|root.test.g_0.d1_260|     10000|
|root.test.g_0.d1_261|     10000|
|root.test.g_0.d1_262|     10000|
|root.test.g_0.d1_263|     10000|
|root.test.g_0.d1_264|     10000|
|root.test.g_0.d1_265|     10000|
|root.test.g_0.d1_266|     10000|
|root.test.g_0.d1_267|     10000|
|root.test.g_0.d1_268|     10000|
|root.test.g_0.d1_269|     10000|
| root.test.g_0.d1_27|     10000|
|root.test.g_0.d1_270|     10000|
|root.test.g_0.d1_271|     10000|
|root.test.g_0.d1_272|     10000|
|root.test.g_0.d1_273|     10000|
|root.test.g_0.d1_274|     10000|
|root.test.g_0.d1_275|     10000|
|root.test.g_0.d1_276|     10000|
|root.test.g_0.d1_277|     10000|
|root.test.g_0.d1_278|     10000|
|root.test.g_0.d1_279|     10000|
| root.test.g_0.d1_28|     10000|
|root.test.g_0.d1_280|     10000|
|root.test.g_0.d1_281|     10000|
|root.test.g_0.d1_282|     10000|
|root.test.g_0.d1_283|     10000|
|root.test.g_0.d1_284|     10000|
|root.test.g_0.d1_285|     10000|
|root.test.g_0.d1_286|     10000|
|root.test.g_0.d1_287|     10000|
|root.test.g_0.d1_288|     10000|
|root.test.g_0.d1_289|     10000|
| root.test.g_0.d1_29|     10000|
|root.test.g_0.d1_290|     10000|
|root.test.g_0.d1_291|     10000|
|root.test.g_0.d1_292|     10000|
|root.test.g_0.d1_293|     10000|
|root.test.g_0.d1_294|     10000|
|root.test.g_0.d1_295|     10000|
|root.test.g_0.d1_296|     10000|
|root.test.g_0.d1_297|     10000|
|root.test.g_0.d1_298|     10000|
|root.test.g_0.d1_299|     10000|
|  root.test.g_0.d1_3|     10000|
| root.test.g_0.d1_30|     10000|
|root.test.g_0.d1_300|     10000|
|root.test.g_0.d1_301|     10000|
|root.test.g_0.d1_302|     10000|
|root.test.g_0.d1_303|     10000|
|root.test.g_0.d1_304|     10000|
|root.test.g_0.d1_305|     10000|
|root.test.g_0.d1_306|     10000|
|root.test.g_0.d1_307|     10000|
|root.test.g_0.d1_308|     10000|
|root.test.g_0.d1_309|     10000|
| root.test.g_0.d1_31|     10000|
|root.test.g_0.d1_310|     10000|
|root.test.g_0.d1_311|     10000|
|root.test.g_0.d1_312|     10000|
|root.test.g_0.d1_313|     10000|
|root.test.g_0.d1_314|     10000|
|root.test.g_0.d1_315|     10000|
|root.test.g_0.d1_316|     10000|
|root.test.g_0.d1_317|     10000|
|root.test.g_0.d1_318|     10000|
|root.test.g_0.d1_319|     10000|
| root.test.g_0.d1_32|     10000|
|root.test.g_0.d1_320|     10000|
|root.test.g_0.d1_321|     10000|
|root.test.g_0.d1_322|     10000|
|root.test.g_0.d1_323|     10000|
|root.test.g_0.d1_324|     10000|
|root.test.g_0.d1_325|     10000|
|root.test.g_0.d1_326|     10000|
|root.test.g_0.d1_327|     10000|
|root.test.g_0.d1_328|     10000|
|root.test.g_0.d1_329|     10000|
| root.test.g_0.d1_33|     10000|
|root.test.g_0.d1_330|     10000|
|root.test.g_0.d1_331|     10000|
|root.test.g_0.d1_332|     10000|
|root.test.g_0.d1_333|     10000|
|root.test.g_0.d1_334|     10000|
|root.test.g_0.d1_335|     10000|
|root.test.g_0.d1_336|     10000|
|root.test.g_0.d1_337|     10000|
|root.test.g_0.d1_338|     10000|
|root.test.g_0.d1_339|     10000|
| root.test.g_0.d1_34|     10000|
|root.test.g_0.d1_340|     10000|
|root.test.g_0.d1_341|     10000|
|root.test.g_0.d1_342|     10000|
|root.test.g_0.d1_343|     10000|
|root.test.g_0.d1_344|     10000|
|root.test.g_0.d1_345|     10000|
|root.test.g_0.d1_346|     10000|
|root.test.g_0.d1_347|     10000|
|root.test.g_0.d1_348|     10000|
|root.test.g_0.d1_349|     10000|
| root.test.g_0.d1_35|     10000|
|root.test.g_0.d1_350|     10000|
|root.test.g_0.d1_351|     10000|
|root.test.g_0.d1_352|     10000|
|root.test.g_0.d1_353|     10000|
|root.test.g_0.d1_354|     10000|
|root.test.g_0.d1_355|     10000|
|root.test.g_0.d1_356|     10000|
|root.test.g_0.d1_357|     10000|
|root.test.g_0.d1_358|     10000|
|root.test.g_0.d1_359|     10000|
| root.test.g_0.d1_36|     10000|
|root.test.g_0.d1_360|     10000|
|root.test.g_0.d1_361|     10000|
|root.test.g_0.d1_362|     10000|
|root.test.g_0.d1_363|     10000|
|root.test.g_0.d1_364|     10000|
|root.test.g_0.d1_365|     10000|
|root.test.g_0.d1_366|     10000|
|root.test.g_0.d1_367|     10000|
|root.test.g_0.d1_368|     10000|
|root.test.g_0.d1_369|     10000|
| root.test.g_0.d1_37|     10000|
|root.test.g_0.d1_370|     10000|
|root.test.g_0.d1_371|     10000|
|root.test.g_0.d1_372|     10000|
|root.test.g_0.d1_373|     10000|
|root.test.g_0.d1_374|     10000|
|root.test.g_0.d1_375|     10000|
|root.test.g_0.d1_376|     10000|
|root.test.g_0.d1_377|     10000|
|root.test.g_0.d1_378|     10000|
|root.test.g_0.d1_379|     10000|
| root.test.g_0.d1_38|     10000|
|root.test.g_0.d1_380|     10000|
|root.test.g_0.d1_381|     10000|
|root.test.g_0.d1_382|     10000|
|root.test.g_0.d1_383|     10000|
|root.test.g_0.d1_384|     10000|
|root.test.g_0.d1_385|     10000|
|root.test.g_0.d1_386|     10000|
|root.test.g_0.d1_387|     10000|
|root.test.g_0.d1_388|     10000|
|root.test.g_0.d1_389|     10000|
| root.test.g_0.d1_39|     10000|
|root.test.g_0.d1_390|     10000|
|root.test.g_0.d1_391|     10000|
|root.test.g_0.d1_392|     10000|
|root.test.g_0.d1_393|     10000|
|root.test.g_0.d1_394|     10000|
|root.test.g_0.d1_395|     10000|
|root.test.g_0.d1_396|     10000|
|root.test.g_0.d1_397|     10000|
|root.test.g_0.d1_398|     10000|
|root.test.g_0.d1_399|     10000|
|  root.test.g_0.d1_4|     10000|
| root.test.g_0.d1_40|     10000|
|root.test.g_0.d1_400|     10000|
|root.test.g_0.d1_401|     10000|
|root.test.g_0.d1_402|     10000|
|root.test.g_0.d1_403|     10000|
|root.test.g_0.d1_404|     10000|
|root.test.g_0.d1_405|     10000|
|root.test.g_0.d1_406|     10000|
|root.test.g_0.d1_407|     10000|
|root.test.g_0.d1_408|     10000|
|root.test.g_0.d1_409|     10000|
| root.test.g_0.d1_41|     10000|
|root.test.g_0.d1_410|     10000|
|root.test.g_0.d1_411|     10000|
|root.test.g_0.d1_412|     10000|
|root.test.g_0.d1_413|     10000|
|root.test.g_0.d1_414|     10000|
|root.test.g_0.d1_415|     10000|
|root.test.g_0.d1_416|     10000|
|root.test.g_0.d1_417|     10000|
|root.test.g_0.d1_418|     10000|
|root.test.g_0.d1_419|     10000|
| root.test.g_0.d1_42|     10000|
|root.test.g_0.d1_420|     10000|
|root.test.g_0.d1_421|     10000|
|root.test.g_0.d1_422|     10000|
|root.test.g_0.d1_423|     10000|
|root.test.g_0.d1_424|     10000|
|root.test.g_0.d1_425|     10000|
|root.test.g_0.d1_426|     10000|
|root.test.g_0.d1_427|     10000|
|root.test.g_0.d1_428|     10000|
|root.test.g_0.d1_429|     10000|
| root.test.g_0.d1_43|     10000|
|root.test.g_0.d1_430|     10000|
|root.test.g_0.d1_431|     10000|
|root.test.g_0.d1_432|     10000|
|root.test.g_0.d1_433|     10000|
|root.test.g_0.d1_434|     10000|
|root.test.g_0.d1_435|     10000|
|root.test.g_0.d1_436|     10000|
|root.test.g_0.d1_437|     10000|
|root.test.g_0.d1_438|     10000|
|root.test.g_0.d1_439|     10000|
| root.test.g_0.d1_44|     10000|
|root.test.g_0.d1_440|     10000|
|root.test.g_0.d1_441|     10000|
|root.test.g_0.d1_442|     10000|
|root.test.g_0.d1_443|     10000|
|root.test.g_0.d1_444|     10000|
|root.test.g_0.d1_445|     10000|
|root.test.g_0.d1_446|     10000|
|root.test.g_0.d1_447|     10000|
|root.test.g_0.d1_448|     10000|
|root.test.g_0.d1_449|     10000|
| root.test.g_0.d1_45|     10000|
|root.test.g_0.d1_450|     10000|
|root.test.g_0.d1_451|     10000|
|root.test.g_0.d1_452|     10000|
|root.test.g_0.d1_453|     10000|
|root.test.g_0.d1_454|     10000|
|root.test.g_0.d1_455|     10000|
|root.test.g_0.d1_456|     10000|
|root.test.g_0.d1_457|     10000|
|root.test.g_0.d1_458|     10000|
|root.test.g_0.d1_459|     10000|
| root.test.g_0.d1_46|     10000|
|root.test.g_0.d1_460|     10000|
|root.test.g_0.d1_461|     10000|
|root.test.g_0.d1_462|     10000|
|root.test.g_0.d1_463|     10000|
|root.test.g_0.d1_464|     10000|
|root.test.g_0.d1_465|     10000|
|root.test.g_0.d1_466|     10000|
|root.test.g_0.d1_467|     10000|
|root.test.g_0.d1_468|     10000|
|root.test.g_0.d1_469|     10000|
| root.test.g_0.d1_47|     10000|
